time,/gem/base_footprint/odom.x,/gem/base_footprint/odom.y,/gem/base_footprint/odom.z,/lio_sam_lo/mapping/odometry.x,/lio_sam_lo/mapping/odometry.y,/lio_sam_lo/mapping/odometry.z
16963.754000000,-19.518,-3.91429,-0.100033,10.9267,-2.79012,-0.110146
16963.992000000,-19.345,-4.01086,-0.100033,11.087,-2.88043,-0.115426
16964.162000000,-19.2226,-4.07921,-0.100033,11.2163,-2.95442,-0.118987
16964.366000000,-19.0768,-4.16056,-0.100033,11.3531,-3.03093,-0.121968
16964.570000000,-18.9328,-4.24095,-0.100033,11.4908,-3.10701,-0.121704
16964.740000000,-18.8151,-4.30667,-0.100033,11.6215,-3.17977,-0.127137
16964.944000000,-18.6765,-4.38401,-0.100033,11.7626,-3.25816,-0.132849
16965.148000000,-18.5407,-4.45986,-0.100033,11.8944,-3.33075,-0.136526
16965.352000000,-18.4072,-4.53434,-0.100033,12.0264,-3.40404,-0.140636
16965.522000000,-18.2978,-4.59545,-0.100033,12.1355,-3.46669,-0.142399
16965.692000000,-18.1897,-4.65578,-0.100033,12.2315,-3.52281,-0.141917
16965.896000000,-18.0617,-4.72701,-0.100033,12.3661,-3.59196,-0.145855
16966.032000000,-17.9772,-4.77333,-0.100033,12.4669,-3.63916,-0.147289
16966.236000000,-17.8523,-4.83981,-0.100032,12.589,-3.68945,-0.153099
16966.406000000,-17.75,-4.89191,-0.100033,12.7037,-3.73019,-0.15906
16966.576000000,-17.6479,-4.94152,-0.100033,12.8256,-3.77069,-0.164759
16966.746000000,-17.5454,-4.98895,-0.100033,12.9173,-3.80179,-0.163304
16966.950000000,-17.4218,-5.04301,-0.100033,13.0525,-3.84129,-0.164611
16967.154000000,-17.2997,-5.09288,-0.100032,13.1718,-3.87089,-0.171361
16967.324000000,-17.2026,-5.1295,-0.100032,13.2911,-3.89101,-0.174011
16967.528000000,-17.0909,-5.16771,-0.100032,13.4077,-3.90386,-0.179838
16967.732000000,-16.9795,-5.20129,-0.100033,13.534,-3.91037,-0.186565
